Date,Instrument,Price Close,Currency,Enterprise Value (Daily Time Series),P/E (Daily Time Series Ratio),Company Market Cap,Beta,"WACC Cost of Equity, (%)",1 Week Total Return,Volume,SPX,SPLRCTHSP
2012-11-14T00:00:00Z,AAPL.O,76.69706616,USD,475909720960.0,12.161647667,505038720960.0,,,-3.7852738497616403,119292096,,
2012-11-15T00:00:00Z,AAPL.O,75.08849634,USD,465317529040.0,11.906581073,494446529040.0,,,-2.25569502524906,197477582,,
2012-11-16T00:00:00Z,AAPL.O,75.382496046,USD,467253473176.0,11.953199816,496382473176.0,,,-3.54293861663283,316723079,,
2012-11-19T00:00:00Z,AAPL.O,80.81849061,USD,503048685160.0,12.815170865999999,532177685160.0,,,4.218631985477209,205793170,,
2012-11-20T00:00:00Z,AAPL.O,80.130405584,USD,498517748072.8,12.706063072000001,527646748072.8,,,3.31837656571172,160688016,,
2012-11-21T00:00:00Z,AAPL.O,80.24277690000001,USD,499257696400.0,12.72388149,528386696400.0,,,4.623007004851719,93306852,,
2012-11-23T00:00:00Z,AAPL.O,81.6427755,USD,508476478000.0,12.945875505999998,537605478000.0,,,8.30468581237795,68206647,,
2012-11-26T00:00:00Z,AAPL.O,84.21848721,USD,525437154760.0,13.35429919,554566154760.0,,,4.20695384731573,157644588,,
2012-11-27T00:00:00Z,AAPL.O,83.53991646,USD,520968867760.0,13.246700049000001,550097867760.0,,,4.25495272510219,133328587,,
2012-11-28T00:00:00Z,AAPL.O,83.27705958,USD,519237994480.00104,13.20501954,548366994480.0,,,3.78137795881586,130265111,,
2012-11-29T00:00:00Z,AAPL.O,84.19420152,USD,525277237120.00104,13.350448273,554406237120.0,,,4.92433683376583,128674653,,
2012-11-30T00:00:00Z,AAPL.O,83.61134496,USD,521439213760.0,13.258026275,550568213760.0,,,2.41119859934942,97825083,,
2012-12-03T00:00:00Z,AAPL.O,83.74134483,USD,522295243480.0,13.278640005,551424243480.0,,,-0.566553017800364,91069188,,
2012-12-04T00:00:00Z,AAPL.O,82.263546308,USD,512564161016.801,13.044309464000001,541693161016.8,,,-1.5278566303658798,139482531,,
2012-12-05T00:00:00Z,AAPL.O,76.970251601,USD,477708606271.6,12.204965948,506837606271.6,,,-7.573283700096161,261159614,,
2012-12-06T00:00:00Z,AAPL.O,78.177707537,USD,485659523194.0,12.396428990999999,514788523194.0,,,-7.1459719023239,294302085,,
2012-12-07T00:00:00Z,AAPL.O,76.17849525,USD,472495009000.00104,12.079419270999999,501624009000.0,,,-8.88976216497891,196941990,,
2012-12-10T00:00:00Z,AAPL.O,75.688624311,USD,469269282062.801,12.001741753,498398282062.8,,,-9.61618246643898,157620732,,
2012-12-11T00:00:00Z,AAPL.O,77.341065516,USD,480150360496.00104,12.263764914000001,509279360496.0,,,-5.98379356715966,148086051,,
2012-12-12T00:00:00Z,AAPL.O,76.999923,USD,477903988000.0,12.209670862000001,507032988000.0,,,0.038549176560654,121783251,,
2012-12-13T00:00:00Z,AAPL.O,75.66992433,USD,469146145480.0,11.998776547,498275145480.0,,,-3.2077983427706402,156314783,,
2012-12-14T00:00:00Z,AAPL.O,72.827641458,USD,450430137448.0,11.54808339,479559137448.0,,,-4.3986872956319,252394751,,
2012-12-17T00:00:00Z,AAPL.O,74.11849731,USD,458930230360.0,11.752770934,488059230360.0,,,-2.07445572687807,189736211,,
2012-12-18T00:00:00Z,AAPL.O,76.27135229999999,USD,473106458800.0,12.094143364,502235458800.0,,,-1.3831115577561102,156417179,,
2012-12-19T00:00:00Z,AAPL.O,75.18706767,USD,465966606520.0,11.922211264000001,495095606519.99896,,,-2.3543599258024703,112340536,,
2012-12-20T00:00:00Z,AAPL.O,74.532811181,USD,461658425298.399,11.818467571,490787425298.399,,,-1.50272801112269,120421918,,
2012-12-21T00:00:00Z,AAPL.O,74.18992581,USD,459400576360.0,11.764097159,488529576360.0,,,1.8705594802982,149129703,,
2012-12-24T00:00:00Z,AAPL.O,74.309639976,USD,460188876256.0,11.783079913,489317876256.0,,,0.257887940070045,43937020,,
2012-12-26T00:00:00Z,AAPL.O,73.285569572,USD,453445525654.0,11.620695820999998,482574525654.0,,,-2.52902281917051,75609105,,
2012-12-27T00:00:00Z,AAPL.O,73.57992642,USD,455383821520.0,11.667371195,484512821519.99896,,,-1.2784768826331399,113779793,,
2012-12-28T00:00:00Z,AAPL.O,72.798384344,USD,450237483726.401,11.543444167999999,479366483726.4,,,-1.87564746756177,88569331,,
2012-12-31T00:00:00Z,AAPL.O,76.024623975,USD,470566984431.701,12.055020315999998,499695984431.7,,,2.30788899090872,164872949,,
2013-01-02T00:00:00Z,AAPL.O,78.43277871,USD,486395346190.0,12.436874941,515524346190.0,,,7.02349612545619,140125006,,
2013-01-03T00:00:00Z,AAPL.O,77.442193986,USD,479884413510.699,12.279800584,509013413510.7,,,5.24907777852408,88241038,,
2013-01-04T00:00:00Z,AAPL.O,75.285639,USD,465709770999.99896,11.937841455,494838771000.0,,,3.41663441906142,148582008,,
